Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
S117_R2	421.0	49.0	15.0	12.0	5.0	5.0	14.0	17.0	2.0	196.0	108.0	0.0	539.0	1.0	4.0	3.0	2.0	122.0	4.0	0.0	104.0	3.0	2.0	1.0	1.0	2.0	4.0	142.0	8.0	1.0	134.0	0.0	0.0	6.0	2.0	76.0	218.0	6.0	25.0	4.0	12.0	5.0	1454.0	251155.0
S119_R1	9932.0	103.0	19.0	25.0	21.0	31.0	47.0	49.0	13.0	93.0	75.0	3.0	225.0	6.0	2.0	2.0	5.0	55.0	10.0	8.0	44.0	7.0	11.0	19.0	9.0	26.0	24.0	416.0	31.0	13.0	539.0	9.0	5.0	6.0	18.0	304.0	655.0	16.0	149.0	13.0	52.0	20.0	2007.0	335820.0
S119_R2	10344.0	104.0	25.0	26.0	34.0	44.0	62.0	53.0	6.0	92.0	60.0	4.0	216.0	7.0	1.0	4.0	5.0	38.0	9.0	9.0	37.0	6.0	12.0	18.0	9.0	25.0	22.0	150.0	23.0	13.0	169.0	9.0	3.0	5.0	17.0	134.0	639.0	13.0	51.0	11.0	55.0	19.0	1721.0	336633.0
S122_R1	9213.0	25.0	28.0	39.0	69.0	87.0	142.0	153.0	12.0	39.0	29.0	15.0	44.0	25.0	21.0	34.0	29.0	26.0	25.0	21.0	26.0	22.0	33.0	33.0	49.0	51.0	74.0	108.0	50.0	52.0	93.0	35.0	48.0	51.0	65.0	79.0	61.0	53.0	54.0	48.0	65.0	83.0	1883.0	340227.0
S122_R2	10405.0	19.0	23.0	26.0	46.0	59.0	109.0	130.0	10.0	33.0	27.0	9.0	46.0	27.0	24.0	31.0	34.0	24.0	25.0	22.0	28.0	21.0	37.0	37.0	57.0	55.0	76.0	78.0	49.0	55.0	62.0	36.0	49.0	55.0	69.0	52.0	65.0	50.0	47.0	46.0	59.0	74.0	1826.0	339307.0
S123_R1	4400.0	13.0	11.0	23.0	26.0	13.0	25.0	32.0	12.0	32.0	26.0	15.0	39.0	31.0	21.0	15.0	10.0	25.0	23.0	32.0	34.0	31.0	39.0	37.0	37.0	56.0	39.0	105.0	34.0	39.0	95.0	32.0	42.0	43.0	53.0	82.0	59.0	42.0	79.0	51.0	57.0	52.0	859.0	218892.0
S123_R2	4745.0	13.0	10.0	22.0	26.0	13.0	18.0	21.0	13.0	33.0	25.0	14.0	37.0	33.0	23.0	15.0	11.0	28.0	23.0	33.0	34.0	29.0	34.0	39.0	37.0	58.0	39.0	69.0	33.0	42.0	53.0	34.0	42.0	40.0	59.0	66.0	62.0	40.0	61.0	50.0	61.0	47.0	1893.0	217635.0
S124_R1	3442.0	11.0	13.0	6.0	69.0	8.0	3.0	9.0	2.0	10.0	4.0	1.0	4.0	2.0	2.0	0.0	2.0	5.0	2.0	4.0	2.0	6.0	7.0	4.0	1.0	7.0	6.0	10.0	8.0	8.0	17.0	4.0	6.0	2.0	35.0	7.0	10.0	7.0	16.0	5.0	10.0	9.0	443.0	135859.0
S124_R2	4027.0	11.0	10.0	11.0	78.0	6.0	3.0	8.0	2.0	12.0	3.0	2.0	6.0	2.0	3.0	0.0	3.0	2.0	1.0	5.0	2.0	2.0	7.0	3.0	1.0	7.0	6.0	8.0	6.0	8.0	10.0	3.0	4.0	3.0	32.0	5.0	7.0	7.0	7.0	2.0	7.0	7.0	2904.0	132845.0
S125_R1	5530.0	12.0	20.0	43.0	105.0	140.0	243.0	504.0	70.0	30.0	59.0	7.0	15.0	1.0	3.0	5.0	9.0	8.0	6.0	3.0	4.0	7.0	5.0	4.0	4.0	6.0	4.0	25.0	9.0	8.0	26.0	2.0	12.0	6.0	6.0	15.0	20.0	8.0	14.0	7.0	32.0	22.0	527.0	98333.0
S125_R2	7385.0	6.0	8.0	20.0	54.0	62.0	123.0	222.0	13.0	16.0	8.0	3.0	14.0	2.0	5.0	4.0	7.0	7.0	3.0	3.0	3.0	6.0	5.0	6.0	4.0	8.0	7.0	15.0	10.0	4.0	16.0	5.0	11.0	9.0	8.0	9.0	19.0	9.0	13.0	6.0	29.0	23.0	910.0	96819.0
S126_R1	7411.0	37.0	13.0	20.0	72.0	40.0	42.0	55.0	27.0	108.0	81.0	24.0	193.0	14.0	18.0	22.0	23.0	61.0	22.0	31.0	39.0	25.0	34.0	37.0	19.0	56.0	40.0	254.0	48.0	47.0	261.0	27.0	25.0	27.0	70.0	200.0	224.0	28.0	149.0	39.0	122.0	49.0	1842.0	368890.0
S126_R2	8102.0	40.0	13.0	18.0	81.0	39.0	32.0	45.0	12.0	116.0	78.0	21.0	179.0	12.0	20.0	20.0	22.0	48.0	23.0	35.0	37.0	24.0	43.0	39.0	21.0	51.0	39.0	86.0	48.0	48.0	71.0	24.0	30.0	23.0	68.0	84.0	207.0	28.0	67.0	33.0	108.0	38.0	3684.0	367009.0
S127_R1	3880.0	8.0	9.0	24.0	79.0	29.0	34.0	57.0	17.0	18.0	21.0	10.0	55.0	11.0	4.0	10.0	23.0	33.0	8.0	12.0	17.0	9.0	11.0	14.0	28.0	50.0	16.0	67.0	20.0	26.0	108.0	21.0	12.0	8.0	33.0	66.0	36.0	14.0	52.0	13.0	24.0	34.0	1176.0	530299.0
S127_R2	4458.0	10.0	3.0	17.0	78.0	21.0	24.0	40.0	5.0	18.0	24.0	6.0	52.0	12.0	3.0	11.0	22.0	23.0	8.0	13.0	15.0	8.0	12.0	15.0	25.0	50.0	14.0	37.0	22.0	23.0	43.0	16.0	17.0	13.0	34.0	46.0	37.0	16.0	33.0	13.0	25.0	35.0	4207.0	526892.0
S128_R1	6491.0	14.0	10.0	21.0	39.0	53.0	84.0	89.0	8.0	20.0	11.0	13.0	13.0	6.0	8.0	9.0	1.0	12.0	17.0	11.0	12.0	6.0	17.0	12.0	23.0	17.0	27.0	47.0	17.0	19.0	41.0	19.0	20.0	16.0	26.0	52.0	36.0	26.0	44.0	36.0	95.0	44.0	972.0	202047.0
S128_R2	7168.0	9.0	7.0	15.0	12.0	30.0	52.0	74.0	5.0	11.0	9.0	8.0	16.0	7.0	11.0	6.0	3.0	12.0	16.0	12.0	10.0	7.0	19.0	9.0	25.0	18.0	26.0	31.0	12.0	23.0	22.0	19.0	17.0	15.0	28.0	36.0	39.0	22.0	37.0	31.0	89.0	32.0	970.0	201581.0
S129_R1	7014.0	23.0	17.0	21.0	20.0	23.0	18.0	21.0	26.0	76.0	56.0	14.0	115.0	29.0	23.0	22.0	20.0	50.0	19.0	38.0	33.0	28.0	33.0	30.0	48.0	31.0	41.0	108.0	37.0	42.0	121.0	32.0	35.0	35.0	36.0	80.0	52.0	29.0	56.0	29.0	97.0	29.0	759.0	81080.0
S129_R2	7417.0	27.0	14.0	20.0	23.0	44.0	21.0	19.0	28.0	67.0	49.0	15.0	108.0	33.0	24.0	26.0	21.0	42.0	19.0	33.0	33.0	32.0	33.0	34.0	49.0	35.0	40.0	56.0	40.0	37.0	43.0	28.0	40.0	36.0	38.0	51.0	51.0	29.0	33.0	31.0	92.0	25.0	664.0	80946.0
S130_R1	2843.0	145.0	46.0	24.0	35.0	24.0	34.0	42.0	5.0	325.0	200.0	10.0	871.0	15.0	8.0	7.0	10.0	172.0	14.0	18.0	170.0	12.0	7.0	30.0	36.0	31.0	14.0	769.0	56.0	10.0	1054.0	10.0	8.0	8.0	23.0	515.0	2216.0	17.0	360.0	20.0	34.0	16.0	1976.0	374891.0
S130_R2	3003.0	153.0	49.0	24.0	37.0	31.0	34.0	41.0	5.0	332.0	202.0	9.0	847.0	15.0	7.0	7.0	9.0	137.0	13.0	18.0	148.0	12.0	8.0	30.0	39.0	29.0	14.0	314.0	46.0	11.0	336.0	9.0	6.0	8.0	23.0	247.0	2209.0	17.0	111.0	13.0	30.0	15.0	2169.0	376314.0
S131_R1	7077.0	31.0	19.0	20.0	17.0	21.0	26.0	18.0	29.0	208.0	91.0	25.0	329.0	27.0	25.0	28.0	20.0	83.0	35.0	28.0	71.0	35.0	44.0	71.0	51.0	48.0	70.0	386.0	56.0	58.0	435.0	50.0	35.0	48.0	73.0	166.0	447.0	46.0	173.0	53.0	193.0	43.0	2151.0	204654.0
S131_R2	7497.0	32.0	21.0	18.0	31.0	37.0	23.0	19.0	27.0	206.0	87.0	26.0	299.0	26.0	26.0	31.0	22.0	75.0	33.0	31.0	62.0	32.0	46.0	72.0	46.0	50.0	73.0	141.0	51.0	58.0	124.0	40.0	35.0	49.0	71.0	81.0	433.0	41.0	76.0	46.0	184.0	40.0	1712.0	205484.0
S132_R1	10706.0	15.0	23.0	21.0	42.0	26.0	20.0	18.0	5.0	17.0	8.0	5.0	9.0	6.0	2.0	2.0	5.0	6.0	4.0	3.0	5.0	10.0	11.0	9.0	6.0	21.0	14.0	26.0	4.0	8.0	20.0	6.0	8.0	3.0	28.0	17.0	23.0	11.0	19.0	10.0	11.0	27.0	617.0	121538.0
S132_R2	12440.0	13.0	18.0	19.0	46.0	34.0	10.0	12.0	5.0	14.0	7.0	4.0	11.0	8.0	2.0	3.0	4.0	6.0	3.0	3.0	5.0	5.0	12.0	7.0	6.0	22.0	16.0	15.0	5.0	7.0	7.0	6.0	5.0	2.0	24.0	12.0	23.0	11.0	8.0	4.0	9.0	13.0	3389.0	117120.0
