S117_R1	350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	6.0	15.0	22.0	25.0	55.0	155.0	314.0	817.0	1639.0	2320.0	2793.0	3401.0	4126.0	5511.0	6808.0	8421.0	10468.0	13493.0	18209.0	27339.0	55033.0	91119.0	2439.0
S117_R2	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	14.0	130.0	620.0	1414.0	1360.0	1091.0	998.0	995.0	1057.0	1311.0	1594.0	1895.0	2791.0	3983.0	5615.0	7297.0	9064.0	10904.0	13454.0	17177.0	22778.0	33281.0	54088.0	60669.0	923.0
S119_R1	9860.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	35.0	179.0	426.0	896.0	1711.0	3402.0	5661.0	7369.0	10462.0	14893.0	20139.0	24380.0	25599.0	24386.0	21128.0	18654.0	20050.0	32711.0	106534.0	2453.0
S119_R2	10266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	231.0	1138.0	2526.0	2470.0	1707.0	1437.0	1503.0	1718.0	1969.0	2117.0	2420.0	2979.0	3550.0	4951.0	6627.0	9336.0	11651.0	14946.0	19532.0	26910.0	40324.0	68594.0	108850.0	3175.0
S122_R1	9196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	7.0	46.0	138.0	246.0	572.0	1103.0	1654.0	2023.0	2298.0	2963.0	3904.0	5275.0	6937.0	8922.0	11691.0	15378.0	21871.0	33932.0	63729.0	161065.0	466.0
S122_R2	10390.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	226.0	1046.0	2437.0	2240.0	1714.0	1455.0	1449.0	1459.0	1552.0	1670.0	1989.0	2470.0	3211.0	4624.0	6553.0	8643.0	10890.0	14190.0	18953.0	26157.0	40178.0	71037.0	114926.0	3945.0
S123_R1	4391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	4.0	8.0	18.0	33.0	49.0	71.0	189.0	387.0	837.0	1443.0	1882.0	2215.0	2619.0	3200.0	3958.0	5022.0	6313.0	7888.0	10355.0	14031.0	21099.0	40825.0	92034.0	6834.0
S123_R2	4733.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	26.0	126.0	715.0	1976.0	2337.0	1536.0	1159.0	1125.0	1145.0	1202.0	1398.0	1666.0	2288.0	3098.0	4353.0	5834.0	7361.0	9271.0	11584.0	14668.0	19643.0	28665.0	46414.0	52035.0	1350.0
S124_R1	3440.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	20.0	84.0	150.0	357.0	723.0	1247.0	1639.0	1969.0	2543.0	3409.0	4314.0	5488.0	6789.0	8484.0	10697.0	14058.0	18786.0	26356.0	28523.0	1005.0
S124_R2	4024.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	38.0	275.0	750.0	1128.0	848.0	636.0	520.0	470.0	470.0	480.0	513.0	610.0	898.0	1302.0	1978.0	2767.0	4000.0	5692.0	8204.0	12188.0	19201.0	27864.0	31296.0	13773.0	162.0
