task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
300	84/2099da	30024	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:20.224	44.6s	41.9s	75.9%	359.6 MB	3.7 GB	210.2 MB	5.6 MB
304	98/4f92a7	33314	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:22.449	42.9s	42.2s	75.3%	366.6 MB	3.7 GB	255.9 MB	5.7 MB
334	0a/e5d683	53382	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:36.154	29.3s	28.3s	74.4%	265.3 MB	3.7 GB	105.8 MB	5.6 MB
319	0d/7efc7b	42113	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:28.128	37.3s	36.5s	74.5%	344.1 MB	3.5 GB	194.5 MB	5.6 MB
316	c4/585d89	39791	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:26.698	38.8s	38s	72.2%	352.2 MB	3.7 GB	153.4 MB	5.6 MB
285	e8/bd4816	14423	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:09.826	55.7s	55s	73.9%	380.5 MB	3.7 GB	387.1 MB	5.6 MB
325	cd/dcd379	43594	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:29.255	36.9s	36.1s	75.3%	371.1 MB	3.7 GB	117.7 MB	5.7 MB
314	16/ebe16a	39466	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:26.486	39.8s	39s	72.7%	335.5 MB	3.6 GB	206.4 MB	5.7 MB
317	17/680f55	40824	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:27.578	38.7s	38s	74.8%	360.7 MB	3.7 GB	167.6 MB	5.6 MB
318	8e/2ef125	41635	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:27.985	39.2s	38.3s	84.0%	341.6 MB	3.6 GB	221.2 MB	5.6 MB
306	53/c6b52d	34145	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:23.314	45.5s	44.8s	71.2%	345.6 MB	3.6 GB	270.6 MB	5.6 MB
328	59/4c2f92	46714	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:31.128	38s	37.2s	74.5%	362.4 MB	3.6 GB	177.2 MB	5.6 MB
347	8e/a6f910	4101	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:47.200	22.3s	21s	113.8%	327.2 MB	3.7 GB	72.6 MB	5.7 MB
