task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
155	e2/61e61a	40299	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:10.687	22s	20.9s	100.6%	315.6 MB	3.5 GB	41.3 MB	5.7 MB
20	48/53ff9a	13338	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:56.536	38.5s	37.6s	76.2%	365.4 MB	3.6 GB	172.8 MB	5.7 MB
139	ca/63d153	29291	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:05.069	30.8s	30s	89.5%	361.7 MB	3.5 GB	127.6 MB	5.7 MB
183	73/bd5633	4889	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:26.524	9.7s	8.6s	60.9%	536.4 MB	36.7 GB	57.5 MB	50.1 MB
94	d3/43b92f	21539	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:01.236	35.1s	34.4s	59.2%	1.2 GB	36.9 GB	361 MB	335.8 MB
239	b0/c070cf	13859	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:56.794	40.3s	39.7s	83.8%	370.2 MB	3.7 GB	242.7 MB	5.7 MB
140	65/434bdb	29330	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:05.091	32.5s	31.8s	54.4%	1.2 GB	36.8 GB	354.5 MB	332.3 MB
158	42/90ebe8	43571	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:12.242	25.4s	24.7s	84.9%	257.7 MB	3.6 GB	70.1 MB	5.7 MB
130	f5/8a38d7	23536	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:02.314	35.5s	34.9s	76.9%	363.5 MB	3.6 GB	144.3 MB	5.5 MB
199	70/8dffce	14271	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:32.489	6.7s	5.8s	67.1%	149.8 MB	36.9 GB	36.8 MB	29.8 MB
159	c9/ea12c6	43671	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:12.292	28.7s	27.5s	76.5%	312.4 MB	3.5 GB	90.7 MB	5.7 MB
142	0b/e0372b	29669	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:05.264	36s	35.4s	80.5%	365.4 MB	3.7 GB	149.8 MB	5.7 MB
174	f3/51a3ff	61664	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:21.807	19.7s	19.1s	58.1%	1.2 GB	36.9 GB	215.5 MB	197.5 MB
195	67/15df17	12213	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:31.118	11.6s	10.9s	63.9%	1007.7 MB	36.8 GB	99.7 MB	89.8 MB
13	eb/930fc8	19945	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:00.410	42.4s	41.6s	75.0%	365.8 MB	3.7 GB	185.7 MB	5.5 MB
157	27/2f6bae	41883	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:11.429	31.7s	31s	76.2%	315.5 MB	3.7 GB	125.9 MB	5.6 MB
149	f1/b49374	35773	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:08.283	34.9s	34.2s	54.0%	1.2 GB	36.8 GB	329.1 MB	304.3 MB
133	b7/262e6a	24287	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:02.657	40.6s	40s	75.8%	344.4 MB	3.5 GB	207.8 MB	5.6 MB
135	8a/c4b3ea	25065	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:03.019	41s	40.1s	77.8%	365.3 MB	3.6 GB	181.6 MB	5.7 MB
147	4b/e00da0	33560	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:06.990	37.7s	37.1s	78.8%	355 MB	3.7 GB	133 MB	5.7 MB
168	a6/c888d4	51371	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:16.053	28.9s	28.1s	85.6%	321.7 MB	3.7 GB	112.2 MB	5.7 MB
172	c5/ae8864	61090	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:21.491	23.5s	22.8s	94.5%	281 MB	3.7 GB	49.4 MB	5.7 MB
175	56/c9f8f4	62730	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:22.487	24s	22.3s	57.5%	1.3 GB	36.8 GB	237.8 MB	211.4 MB
145	6d/89e049	31450	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:06.040	40.5s	39.7s	68.0%	340.2 MB	3.6 GB	191.2 MB	5.7 MB
190	de/a6a72b	10504	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:30.315	16.3s	15.3s	62.3%	1.2 GB	36.9 GB	158 MB	146.1 MB
198	37/bce97f	13443	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:31.994	14.6s	13.5s	70.8%	1.2 GB	36.6 GB	157.7 MB	142.8 MB
189	93/7863b6	10489	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:30.309	16.6s	15.8s	66.9%	1.2 GB	36.8 GB	163.6 MB	147.2 MB
178	19/c0e5b1	1202	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:24.448	22.7s	21.4s	65.9%	1.3 GB	36.8 GB	241.6 MB	222.7 MB
12	8d/41adfc	15174	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:57.347	50.3s	49.7s	72.7%	367.4 MB	3.6 GB	257.9 MB	5.7 MB
187	e5/4e406f	7770	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:28.432	20s	19s	63.9%	1.2 GB	36.7 GB	203.7 MB	189.4 MB
123	83/7878ec	22091	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:01.447	47.7s	47s	73.3%	358.3 MB	3.6 GB	259.5 MB	5.7 MB
165	13/d9940c	48007	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:14.389	34.8s	33.9s	89.1%	370.3 MB	3.7 GB	176.2 MB	5.7 MB
215	e0/80820f	30256	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:42.768	6.4s	5.9s	76.1%	483.3 MB	36.8 GB	51.9 MB	44.2 MB
166	87/652ef2	48780	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:14.798	34.5s	33.8s	63.7%	1.3 GB	36.8 GB	442.6 MB	411.7 MB
192	09/d5a873	11116	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:30.588	19.2s	18.4s	106.3%	331.5 MB	3.7 GB	41.4 MB	5.7 MB
167	af/b13c1e	48808	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:14.816	35.1s	34.2s	86.1%	331.9 MB	3.7 GB	170.5 MB	5.6 MB
134	62/92d7c7	24576	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:02.789	47.5s	46.8s	66.7%	357.7 MB	3.6 GB	236.3 MB	5.7 MB
152	27/d1e23d	36192	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:08.483	41.8s	41.2s	83.8%	358.7 MB	3.6 GB	228 MB	5.7 MB
208	98/bce9c7	22478	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:37.629	12.8s	12s	68.3%	1.1 GB	36.9 GB	118 MB	107 MB
201	ed/5317b0	14780	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:32.717	18s	17.1s	64.0%	1.2 GB	36.8 GB	186.2 MB	167.6 MB
154	b2/bb2273	38362	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:09.543	42.1s	41.2s	86.4%	369.3 MB	3.7 GB	254.2 MB	5.6 MB
169	ca/cc4544	55318	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:18.190	33.9s	33s	82.6%	329 MB	3.7 GB	163.9 MB	5.7 MB
186	44/dd6a37	5431	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:27.114	25s	23.6s	59.2%	1.3 GB	36.8 GB	267 MB	249.3 MB
219	41/094c16	31412	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:43.228	8.9s	7.3s	67.6%	544.9 MB	36.9 GB	69 MB	56.7 MB
230	92/2ebfb8	39393	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:47.609	4.5s	3.4s	95.1%	43.4 MB	34 GB	21.7 MB	16.2 MB
153	87/e8d0b7	36295	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:08.534	43.7s	41.8s	80.2%	349.2 MB	3.7 GB	250.4 MB	5.8 MB
217	6e/641099	31220	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:43.142	9.1s	7.6s	75.1%	496.6 MB	36.8 GB	75.7 MB	65.6 MB
188	db/7a5255	8175	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:28.710	23.5s	22.9s	59.2%	1.2 GB	36.8 GB	248.6 MB	229.8 MB
37	f8/910bd5	16786	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:58.332	54.9s	54.2s	77.4%	347.3 MB	3.6 GB	435 MB	5.7 MB
171	a5/7f1909	57677	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:19.437	34.2s	33.2s	83.3%	353.2 MB	3.6 GB	170.3 MB	5.7 MB
173	ef/00bbe4	61469	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:21.682	32.3s	31.5s	59.4%	1.2 GB	36.8 GB	362.5 MB	330 MB
163	e0/d363cb	45949	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:13.344	40.9s	40.4s	84.2%	359.4 MB	3.6 GB	261.2 MB	5.6 MB
161	e3/e71898	45296	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:13.050	41.9s	41.3s	76.6%	364.4 MB	3.4 GB	216.3 MB	5.6 MB
205	e9/f5fa2c	20092	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:36.325	18.7s	17.9s	69.3%	1.2 GB	36.8 GB	221.4 MB	206.4 MB
218	7e/f70f3e	31379	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:43.218	12.9s	12.1s	64.1%	935.6 MB	36.9 GB	109.2 MB	96.7 MB
229	25/7e7a26	38792	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:47.168	9.3s	7.3s	69.0%	398 MB	36.9 GB	56.5 MB	48.3 MB
203	63/537be8	19358	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:35.827	22.3s	20.9s	63.7%	1.2 GB	36.9 GB	246.3 MB	227.5 MB
202	b2/beb70d	18456	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:34.991	23.7s	23.2s	101.6%	274.9 MB	3.6 GB	64.5 MB	5.7 MB
181	f0/39320d	4564	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:26.307	32.6s	31.9s	60.2%	1.3 GB	36.8 GB	365.3 MB	337.2 MB
136	60/27c488	26209	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:03.556	55.5s	54.9s	79.8%	378.4 MB	3.7 GB	367.1 MB	5.6 MB
144	cf/3eb940	30547	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:05.585	53.7s	53s	71.1%	363.7 MB	3.7 GB	341.7 MB	5.7 MB
22	d0/021244	15342	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:57.417	1m 2s	1m 1s	77.4%	396.2 MB	3.6 GB	490.1 MB	5.7 MB
160	73/92a54f	44976	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:12.907	46.6s	45.6s	72.3%	340.6 MB	3.5 GB	279.5 MB	5.7 MB
226	fe/7c09c9	37672	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:46.637	14s	13.4s	66.8%	1.2 GB	36.8 GB	147.5 MB	131.7 MB
200	8b/201c0b	14751	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:32.699	28.3s	27.6s	63.6%	1.2 GB	36.8 GB	326.7 MB	306.3 MB
204	df/fb120b	19987	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:36.261	26.1s	25.5s	83.6%	296.7 MB	3.7 GB	88.2 MB	5.6 MB
233	76/65a3ad	42397	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:49.167	13.2s	12.5s	71.2%	1.1 GB	36.8 GB	127.4 MB	114.1 MB
245	c3/efe5d1	47576	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:51.610	10.9s	9.8s	61.5%	709.8 MB	36.8 GB	86.5 MB	72.5 MB
207	dc/5a77b9	22456	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:37.615	25s	24.4s	92.1%	275.8 MB	3.6 GB	81.6 MB	5.7 MB
222	73/3ff6e6	34506	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:44.947	18.2s	16.6s	63.2%	1.2 GB	36.8 GB	204.4 MB	189.6 MB
177	cb/19fb9d	64405	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:23.440	40.2s	39.3s	84.7%	367 MB	3.7 GB	198.8 MB	5.7 MB
244	90/452f20	45640	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:50.674	13.4s	12.2s	61.2%	1 GB	36.7 GB	108.5 MB	95.7 MB
138	81/6e1ace	27933	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:04.270	1m	59.4s	68.9%	368 MB	3.6 GB	383.4 MB	5.7 MB
248	85/b60fe0	48571	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:52.157	13.9s	12.5s	58.6%	1006 MB	36.8 GB	109.1 MB	99.6 MB
214	a2/01332d	28685	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:41.491	25.5s	23.3s	68.6%	1.2 GB	36.8 GB	335.7 MB	314.6 MB
237	94/2d189e	43480	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:49.752	17.3s	14.6s	66.0%	1.2 GB	36.9 GB	166.2 MB	150.2 MB
156	9d/62e202	41265	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:11.106	56.6s	56s	77.6%	390.7 MB	3.6 GB	377.9 MB	5.6 MB
224	bb/2240d5	37281	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:46.491	21.3s	20.7s	61.4%	1.2 GB	36.8 GB	230.4 MB	216 MB
206	e2/7864c7	21766	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:37.133	30.6s	29.9s	86.8%	348.4 MB	3.7 GB	121.8 MB	5.7 MB
185	c0/3668ab	5129	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:26.812	43s	42.3s	84.1%	377.3 MB	3.6 GB	234 MB	5.7 MB
236	c9/6f3223	42570	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:49.258	20.8s	20.1s	59.0%	1.3 GB	36.6 GB	230.1 MB	210.9 MB
220	2e/d7fd08	32896	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:44.037	26.6s	25.9s	60.0%	1.3 GB	36.8 GB	285.9 MB	268.4 MB
180	cc/0f3e10	3848	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:25.931	45s	44.3s	76.6%	367.5 MB	3.7 GB	258.8 MB	5.6 MB
19	a8/f0c134	15851	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:16:57.633	1m 14s	1m 13s	71.9%	366.3 MB	3.6 GB	587.5 MB	5.8 MB
221	34/c2c1f3	34035	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:44.673	27.2s	26.5s	54.2%	1.2 GB	36.8 GB	259.7 MB	238.5 MB
232	43/8ac1b0	42334	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:49.137	23.6s	22.7s	62.7%	1.3 GB	36.9 GB	258.6 MB	242.4 MB
231	bb/e76a7e	40827	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:48.432	24.6s	23.8s	81.6%	343.8 MB	3.6 GB	69.1 MB	5.7 MB
176	93/201523	63400	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:22.894	50.8s	50s	72.5%	335.9 MB	3.6 GB	339.3 MB	5.6 MB
251	8b/a31c85	48772	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:52.240	23s	22s	80.7%	226.6 MB	3.6 GB	45.6 MB	5.6 MB
148	60/feca43	33616	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:07.019	1m 9s	1m 8s	66.5%	348.4 MB	3.6 GB	455.1 MB	5.7 MB
213	ef/fb9aa0	28236	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:41.260	35.4s	34.7s	56.7%	1.3 GB	36.8 GB	392.5 MB	369.1 MB
242	94/ef5275	44762	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:50.344	27.7s	27s	90.5%	342.2 MB	3.6 GB	99 MB	5.5 MB
253	f6/4b4222	48829	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:52.263	26.8s	26.1s	85.7%	281.9 MB	3.7 GB	86.2 MB	5.7 MB
249	4c/83375a	48581	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:52.165	27.7s	27.2s	53.0%	1.2 GB	36.7 GB	251.1 MB	231 MB
212	33/5e443a	27674	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:41.010	39.2s	38.7s	54.7%	1.3 GB	36.8 GB	404.8 MB	371.1 MB
243	db/249d2d	45111	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:50.442	30.2s	29.6s	76.3%	310.1 MB	3.7 GB	121.7 MB	5.6 MB
261	79/2f1265	56838	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:56.487	24.8s	24s	92.2%	263.3 MB	3.6 GB	73.4 MB	5.7 MB
258	01/d9044f	53976	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:54.980	26.5s	25.5s	82.9%	332.7 MB	3.6 GB	92.6 MB	5.6 MB
241	f6/c93a5a	44699	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:50.320	32.1s	31.7s	82.0%	335.7 MB	3.6 GB	121.1 MB	5.6 MB
265	56/836f88	61021	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:59.089	23.6s	22.9s	91.8%	294.1 MB	3.6 GB	44.1 MB	5.5 MB
225	ec/7adc9f	37612	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:46.615	36.7s	36.1s	76.2%	324.1 MB	3.6 GB	160.1 MB	5.7 MB
209	95/1c2dfb	22859	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:37.828	46.2s	45.3s	81.5%	369.8 MB	3.6 GB	298.5 MB	5.7 MB
216	27/f71277	30331	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:42.801	41.8s	41.2s	73.1%	372.2 MB	3.4 GB	217 MB	5.7 MB
252	bd/5c2f8f	48803	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:52.250	32.9s	32.2s	85.7%	385.3 MB	3.7 GB	127.9 MB	5.6 MB
263	bf/75d9a1	60619	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:58.677	27s	26.3s	78.4%	261 MB	3.6 GB	79 MB	5.7 MB
260	1f/b6b3e1	56442	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:56.170	29.9s	28.9s	82.6%	275.3 MB	3.5 GB	121.2 MB	5.6 MB
254	0b/41e854	50859	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:53.281	32.8s	32.1s	80.6%	367.7 MB	3.8 GB	114.1 MB	5.6 MB
211	de/76a9f6	24855	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:39.153	47.1s	46s	81.7%	387.8 MB	3.7 GB	272.2 MB	5.7 MB
197	55/59bfb5	12510	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:31.366	55.1s	54.2s	71.9%	360.3 MB	3.7 GB	348.3 MB	5.7 MB
227	c6/bbb83b	37734	TRIMMOMATIC (Trimming raw reads)	COMPLETED	0	2021-04-07 17:17:46.654	40s	39.4s	54.7%	1.2 GB	36.7 GB	414.3 MB	388.4 MB
273	b6/3a71ab	2067	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:02.485	24.2s	22.3s	93.9%	271 MB	3.6 GB	35.9 MB	5.7 MB
247	b5/3529d1	48501	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:52.126	34.7s	33.9s	84.1%	333.1 MB	3.6 GB	153.2 MB	5.7 MB
193	d0/848591	11468	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:30.738	57.2s	56.5s	73.6%	359 MB	3.6 GB	417.3 MB	5.7 MB
194	90/56c80a	11930	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:30.964	57.2s	56.4s	75.0%	361.9 MB	3.7 GB	405.1 MB	5.7 MB
255	ed/2bd32c	51764	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:53.615	34.5s	32.8s	79.2%	326.7 MB	3.7 GB	126.3 MB	5.8 MB
223	91/ef3bbb	34519	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:44.963	43.4s	42.5s	77.0%	369.9 MB	3.6 GB	243 MB	5.6 MB
240	73/2108e6	43761	FASTQC (Quality checking raw reads)	COMPLETED	0	2021-04-07 17:17:49.940	38.6s	37.9s	82.7%	345 MB	3.6 GB	178.8 MB	5.5 MB
262	7c/798f41	60033	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:58.164	30.6s	29.9s	79.8%	305.1 MB	3.6 GB	103.5 MB	5.5 MB
256	ff/94a621	52417	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:17:53.966	35.2s	33.8s	72.5%	312.4 MB	3.6 GB	137.9 MB	5.6 MB
277	6e/572011	4896	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:04.055	25.2s	24.4s	83.7%	334 MB	3.6 GB	43.5 MB	5.7 MB
